Day,S,E,I,R,Total
34,274187.71786905377,39.085439591076515,36.759396041808,19.437295313292946,274282.99999999994
35,274176.0009032521,43.86472674274768,41.25513079358318,21.879239211551784,274283.0
36,274162.8515556606,49.22809584313627,46.300517069861236,24.61983142638364,274282.99999999994
37,274148.0948638364,55.24684433660184,51.962708334997146,27.695583491979207,274283.00000000006
38,274131.5345312071,62.00095131194134,58.31705010644945,31.147467374459612,274283.0
39,274112.95033553115,69.58012893337887,65.44807605853642,35.02145947694659,274283.0
40,274092.09522488003,78.0849998124339,73.45062450155424,39.36915080599754,274283.0
41,274068.69206404703,87.62841508011832,82.43108956560694,44.2484313072838,274283.00000000006
42,274042.42999147443,98.3369289880607,92.50882252677327,49.72425701076535,274283.00000000006
43,274012.96033842687,110.35244898828647,103.81770206892836,55.869510515948924,274283.00000000006
44,273979.89206208143,123.83408032970263,116.5078922032237,62.76596538569814,274283.00000000006
45,273942.7866341299,138.96018796126748,130.74781057408597,70.50536733481208,274283.00000000006
46,273901.15232255205,155.93069995194782,146.72633141501436,79.19064608107914,274283.00000000006
47,273854.43779887655,174.9696784535919,164.65524968652207,88.9372729834637,274283.0000000001
48,273802.0249925155,196.3281882215067,184.77203706116805,99.87478220188572,274283.00000000006
49,273743.22110656585,220.2874951536409,207.34292326725856,112.14847501339486,274283.0000000002
50,273677.24970621296,247.16262807356432,232.6663379095488,125.92132780407016,274283.0000000001
51,273603.24077574967,277.3063422562763,261.0767538438612,141.37612815033106,274283.0000000001
52,273520.2196322485,311.113525329496,292.94897665767724,158.71786576448778,274283.00000000023
53,273427.09457528644,349.0260888446854,328.7029281001359,178.1764077688934,274283.0000000002
54,273322.6431456872,391.5383897769726,368.8089747525866,200.00948978341233,274283.0000000002
55,273205.49684888386,439.2032311766907,413.7938601901345,224.50605974951242,274283.00000000023
56,273074.1241907801,492.63849144727294,464.2473028680462,251.99001490478707,274283.0000000002
57,272926.81187212124,552.5344312408882,520.829322717095,282.82437392101536,274283.00000000023
