,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Tahiti,191779.0,110210.0,23682.0,33139.0,24748.0,0.5746718879543642,0.1234858874016446,0.17279785586534502,0.12904436877864625,59.0,191779.0
Tahiti,191779.0,104485.0,24597.0,35666.0,27031.0,0.54481981864542,0.1282570041558252,0.1859744810432842,0.14094869615547062,60.0,191779.0
Tahiti,191779.0,98527.0,25713.0,37864.0,29675.0,0.5137528092231162,0.1340762022953504,0.19743558992381857,0.15473539855771487,61.0,191779.0
Tahiti,191779.0,92319.0,26669.0,40414.0,32377.0,0.48138221598819475,0.13906110679480027,0.21073214481251856,0.16882453240448642,62.0,191779.0
Tahiti,191779.0,86490.0,27383.0,42725.0,35181.0,0.45098785581320167,0.14278414216363627,0.2227824735763561,0.18344552844680595,63.0,191779.0
Tahiti,191779.0,80882.0,27628.0,44969.0,38300.0,0.42174586372856254,0.14406165430000156,0.23448344187841214,0.19970904009302373,64.0,191779.0
Tahiti,191779.0,75193.0,27800.0,47333.0,41453.0,0.3920815104886354,0.1449585199630825,0.2468101304105246,0.2161498391377575,65.0,191779.0
Tahiti,191779.0,69645.0,27787.0,49524.0,44823.0,0.3631523785190245,0.14489073360482638,0.2582347389443057,0.23372214893184343,66.0,191779.0
Tahiti,191779.0,64320.0,27460.0,51579.0,48420.0,0.3353860433102686,0.1431856459779225,0.26895019788402275,0.25247811282778615,67.0,191779.0
Tahiti,191779.0,59081.0,27288.0,53534.0,51876.0,0.3080681409330531,0.14228878031484157,0.27914422329869276,0.2704988554534125,68.0,191779.0
Tahiti,191779.0,54180.0,26700.0,55293.0,55606.0,0.2825126838704968,0.13922275118756486,0.28831623900427056,0.28994832593766784,69.0,191779.0
Tahiti,191779.0,49454.0,26109.0,56667.0,59549.0,0.2578697354767727,0.13614107905453673,0.29548073563841715,0.31050844983027337,70.0,191779.0
Tahiti,191779.0,45112.0,25227.0,57870.0,63570.0,0.23522909181922944,0.13154203536362166,0.30175358094473326,0.33147529187241564,71.0,191779.0
Tahiti,191779.0,40956.0,24263.0,58815.0,67745.0,0.21355831451827365,0.12651541618216802,0.306681127756428,0.35324514154313036,72.0,191779.0
Tahiti,191779.0,37155.0,23333.0,59387.0,71904.0,0.19373862623123492,0.12166608439923036,0.3096637275196972,0.37493156184983756,73.0,191779.0
Tahiti,191779.0,33711.0,22064.0,59915.0,76089.0,0.1757804556286142,0.11504909296638319,0.3124168965319456,0.396753554873057,74.0,191779.0
Tahiti,191779.0,30632.0,20748.0,60198.0,80201.0,0.15972551739241522,0.10818702777676388,0.3138925534078288,0.4181949014229921,75.0,191779.0
Tahiti,191779.0,27656.0,19409.0,60198.0,84516.0,0.14420765568701474,0.10120503287638376,0.3138925534078288,0.4406947580287727,76.0,191779.0
Tahiti,191779.0,25008.0,18159.0,59771.0,88841.0,0.1304000959437686,0.09468711381329552,0.31166603225587786,0.463246757987058,77.0,191779.0
Tahiti,191779.0,22699.0,16932.0,58931.0,93217.0,0.118360195850432,0.0882891244609681,0.30728599064548257,0.48606468904311734,78.0,191779.0
Tahiti,191779.0,20691.0,15567.0,58028.0,97493.0,0.10788981066748705,0.08117155684407573,0.30257744591430763,0.5083611865741295,79.0,191779.0
Tahiti,191779.0,18829.0,14280.0,56956.0,101714.0,0.09818071843111081,0.07446070737672007,0.29698767852580316,0.530370895666366,80.0,191779.0
Tahiti,191779.0,17130.0,13029.0,55903.0,105717.0,0.08932156284056127,0.06793757397838136,0.2914969835070576,0.5512438796739998,81.0,191779.0
Tahiti,191779.0,15697.0,11866.0,54462.0,109754.0,0.08184942042663691,0.06187330208208407,0.2839831264111295,0.5722941510801496,82.0,191779.0
Tahiti,191779.0,14430.0,10867.0,52883.0,113599.0,0.07524285766429067,0.05666418116686394,0.2757496910506364,0.592343270118209,83.0,191779.0
Tahiti,191779.0,13231.0,9827.0,51255.0,117466.0,0.06899086969897643,0.05124127250637452,0.2672607532628703,0.6125071045317788,84.0,191779.0
Tahiti,191779.0,12180.0,8964.0,49578.0,121057.0,0.06351060335073183,0.0467413011852184,0.25851631304783107,0.6312317824162187,85.0,191779.0
Tahiti,191779.0,11224.0,8042.0,47984.0,124529.0,0.05852569885128194,0.041933684084284516,0.250204662658581,0.6493359544058526,86.0,191779.0
Tahiti,191779.0,10394.0,7286.0,46118.0,127981.0,0.054197800593391354,0.037991646634928745,0.24047471308120286,0.667335839690477,87.0,191779.0
Tahiti,191779.0,9637.0,6684.0,44205.0,131253.0,0.050250548808785114,0.03485261681414545,0.2304996897470526,0.6843971446300169,88.0,191779.0
Tahiti,191779.0,9056.0,6005.0,42477.0,134241.0,0.047221020028261694,0.03131208317907592,0.2214893184342394,0.699977578358423,89.0,191779.0
Tahiti,191779.0,8440.0,5408.0,40776.0,137155.0,0.04400898951397181,0.02819912503454497,0.21261973417318894,0.7151721512782943,90.0,191779.0
Tahiti,191779.0,7838.0,4859.0,39084.0,139998.0,0.04086995969318851,0.025336454982036617,0.2037970789293927,0.7299965063953822,91.0,191779.0
Tahiti,191779.0,7353.0,4313.0,37289.0,142824.0,0.038341007096710275,0.022489427935279672,0.19443734715479796,0.7447322178132121,92.0,191779.0
Tahiti,191779.0,6920.0,3890.0,35524.0,145445.0,0.03608319993325651,0.02028376412433061,0.18523404543771738,0.7583989905046955,93.0,191779.0
Tahiti,191779.0,6551.0,3459.0,33818.0,147951.0,0.03415911022583286,0.018036385631377785,0.17633838950041453,0.7714661146423748,94.0,191779.0
Tahiti,191779.0,6121.0,3063.0,32194.0,150401.0,0.0319169460681305,0.01597150887219143,0.1678703090536503,0.7842412360060278,95.0,191779.0
Tahiti,191779.0,5832.0,2793.0,30470.0,152684.0,0.030410003180744504,0.014563638354564368,0.158880795081839,0.7961455633828521,96.0,191779.0
Tahiti,191779.0,5637.0,2437.0,28935.0,154770.0,0.029393207806902737,0.012707335005396838,0.15087679047236663,0.8070226667153338,97.0,191779.0
Tahiti,191779.0,5398.0,2242.0,27324.0,156815.0,0.028146981682040266,0.011690539631555072,0.1424764963838585,0.8176859823025462,98.0,191779.0
Tahiti,191779.0,5170.0,1960.0,25860.0,158789.0,0.02695811324493297,0.010220097090922364,0.13484270957716957,0.8279790800869751,99.0,191779.0
Tahiti,191779.0,4975.0,1751.0,24366.0,160687.0,0.025941317871091205,0.00913030102357401,0.12705249271296648,0.8378758883923683,100.0,191779.0
Tahiti,191779.0,4777.0,1649.0,22938.0,162415.0,0.024908879491498025,0.008598438828026009,0.11960642197529447,0.8468862597051815,101.0,191779.0
Tahiti,191779.0,4621.0,1472.0,21818.0,163868.0,0.024095443192424612,0.007675501488692714,0.11376636649476742,0.8544626888241152,102.0,191779.0
Tahiti,191779.0,4490.0,1323.0,20476.0,165490.0,0.023412365274612965,0.006898565536372595,0.10676872858863588,0.8629203406003786,103.0,191779.0
Tahiti,191779.0,4325.0,1213.0,19267.0,166974.0,0.02255199995828532,0.0063249886588208305,0.10046459727081693,0.8706584141120769,104.0,191779.0
Tahiti,191779.0,4195.0,1119.0,18243.0,168222.0,0.02187413637572414,0.005834841145276594,0.09512511797433504,0.8771659045046643,105.0,191779.0
Tahiti,191779.0,4061.0,1017.0,17229.0,169472.0,0.021175415452161082,0.005302978949728594,0.08983778203035786,0.8836838235677524,106.0,191779.0
Tahiti,191779.0,3949.0,885.0,16185.0,170760.0,0.020591409904108376,0.004614686696666475,0.08439401602886656,0.8903998873703586,107.0,191779.0
Tahiti,191779.0,3837.0,820.0,15198.0,171924.0,0.020007404356055667,0.004275754905385887,0.07924746713665208,0.8964693736019064,108.0,191779.0
Tahiti,191779.0,3746.0,732.0,14360.0,172941.0,0.019532899848262845,0.0038168934033444746,0.07487785419675773,0.9017723525516349,109.0,191779.0
Tahiti,191779.0,3672.0,676.0,13434.0,173997.0,0.01914703903972802,0.003524890629318121,0.07004937975482195,0.9072786905761319,110.0,191779.0
Tahiti,191779.0,3633.0,603.0,12619.0,174924.0,0.018943679964959666,0.003144244156033768,0.06579969652568843,0.9121123793533181,111.0,191779.0
Tahiti,191779.0,3520.0,558.0,11862.0,175839.0,0.01835446008165649,0.0029095990697625912,0.06185244474108218,0.9168834961074988,112.0,191779.0
Tahiti,191779.0,3426.0,531.0,11112.0,176710.0,0.017864312568112255,0.0027688120179998853,0.057941693303229236,0.9214251821106586,113.0,191779.0
Tahiti,191779.0,3382.0,493.0,10408.0,177496.0,0.01763488181709155,0.0025706672784820027,0.054270801286897936,0.9255236496175285,114.0,191779.0
Tahiti,191779.0,3301.0,473.0,9849.0,178156.0,0.01721252066180343,0.002466380573472591,0.051355987881884876,0.9289651108828391,115.0,191779.0
Tahiti,191779.0,3216.0,428.0,9259.0,178876.0,0.01676930216551343,0.002231735487201414,0.04827953008410723,0.9327194322631779,116.0,191779.0
Tahiti,191779.0,3189.0,382.0,8700.0,179508.0,0.016628515113750724,0.001991876065679767,0.04536471667909416,0.9360148921414754,117.0,191779.0
Tahiti,191779.0,3148.0,347.0,8129.0,180155.0,0.01641472736848143,0.001809374331913296,0.04238733125107546,0.9393885670485298,118.0,191779.0
Tahiti,191779.0,3093.0,320.0,7632.0,180734.0,0.016127938929705547,0.00166858728015059,0.039795806631591574,0.9424076671585523,119.0,191779.0
Tahiti,191779.0,3093.0,294.0,7150.0,181242.0,0.016127938929705547,0.0015330145636383546,0.03728249704086475,0.9450565494657913,120.0,191779.0
Tahiti,191779.0,3015.0,273.0,6728.0,181763.0,0.01572122078016884,0.001423513523378472,0.035082047565166155,0.9477732181312866,121.0,191779.0
Tahiti,191779.0,2979.0,243.0,6295.0,182262.0,0.0155335047111519,0.0012670834658643543,0.03282424040171239,0.9503751714212714,122.0,191779.0
Tahiti,191779.0,2920.0,229.0,5925.0,182705.0,0.015225858931374134,0.001194082772357766,0.03089493635903827,0.9526851219372299,123.0,191779.0
Tahiti,191779.0,2901.0,214.0,5524.0,183140.0,0.015126786561615193,0.001115867743600707,0.02880398792359956,0.9549533577711845,124.0,191779.0
Tahiti,191779.0,2888.0,194.0,5161.0,183536.0,0.015059000203359076,0.0010115810385912952,0.026911184227678735,0.9570182345303709,125.0,191779.0
Tahiti,191779.0,2838.0,189.0,4818.0,183934.0,0.014798283440835546,0.0009855093623389421,0.025122667236767322,0.9590935399600582,126.0,191779.0
Tahiti,191779.0,2825.0,180.0,4542.0,184232.0,0.014730497082579428,0.0009385803450847069,0.023683510707637436,0.9606474118646984,127.0,191779.0
Tahiti,191779.0,2824.0,169.0,4234.0,184552.0,0.014725282747328957,0.0008812226573295303,0.022077495450492493,0.962315999144849,128.0,191779.0
Tahiti,191779.0,2819.0,151.0,3964.0,184845.0,0.014699211071076603,0.0007873646228210596,0.020669624932865435,0.9638437993732369,129.0,191779.0
Tahiti,191779.0,2809.0,142.0,3713.0,185115.0,0.014647067718571898,0.0007404356055668243,0.019360826784997315,0.965251669890864,130.0,191779.0
Tahiti,191779.0,3050.0,148.0,3484.0,185097.0,0.01590372251393531,0.0007717216170696478,0.018166744012639548,0.9651578118563555,131.0,191779.0
Tahiti,191779.0,3309.0,156.0,3295.0,185019.0,0.017254235343807194,0.0008134362990734126,0.017181234650300605,0.9647510937068188,132.0,191779.0
Tahiti,191779.0,3569.0,165.0,3020.0,185025.0,0.01860996250892955,0.000860365316327648,0.015747292456421192,0.9647823797183216,133.0,191779.0
Tahiti,191779.0,3787.0,176.0,2859.0,184957.0,0.01974668759353214,0.0009177230040828245,0.014907784481095428,0.9644278049212897,134.0,191779.0
Tahiti,191779.0,3944.0,171.0,2658.0,185006.0,0.02056533822785602,0.0008916513278304716,0.013859703095750839,0.9646833073485627,135.0,191779.0
Tahiti,191779.0,4079.0,158.0,2533.0,185009.0,0.021269273486669554,0.0008238649695743539,0.013207911189442013,0.9646989503543141,136.0,191779.0
Tahiti,191779.0,4271.0,155.0,2401.0,184952.0,0.022270425854759905,0.0008082219638229421,0.012519618936379895,0.9644017332450373,137.0,191779.0
Tahiti,191779.0,4478.0,152.0,2302.0,184847.0,0.02334979325160732,0.0007925789580715303,0.012003399746583307,0.9638542280437379,138.0,191779.0
Tahiti,191779.0,4694.0,158.0,2164.0,184763.0,0.024476089665708967,0.0008238649695743539,0.011283821482018366,0.9634162238826983,139.0,191779.0
Tahiti,191779.0,4916.0,175.0,2055.0,184633.0,0.02563367209131344,0.0009125086688323539,0.01071545893971707,0.9627383603001372,140.0,191779.0
Tahiti,191779.0,5020.0,167.0,1949.0,184643.0,0.02617596295736238,0.0008707939868285891,0.010162739403167188,0.9627905036526418,141.0,191779.0
Tahiti,191779.0,5279.0,158.0,1804.0,184538.0,0.027526475787234266,0.0008238649695743539,0.009406660791848952,0.9622429984513424,142.0,191779.0
Tahiti,191779.0,5385.0,154.0,1740.0,184500.0,0.028079195323784147,0.0008030076285724714,0.009072943335818833,0.9620448537118246,143.0,191779.0
Tahiti,191779.0,5631.0,182.0,1650.0,184316.0,0.029361921795399912,0.000949009015585648,0.00860365316327648,0.9610854160257379,144.0,191779.0
Tahiti,191779.0,5861.0,184.0,1559.0,184175.0,0.03056121890300815,0.0009594376860865893,0.008129148655483656,0.9603501947554216,145.0,191779.0
Tahiti,191779.0,5964.0,188.0,1484.0,184143.0,0.03109829543380662,0.0009802950270884716,0.0077380735116983615,0.9601833360274066,146.0,191779.0
Tahiti,191779.0,6176.0,188.0,1454.0,183961.0,0.03220373450690639,0.0009802950270884716,0.007581643454184243,0.9592343270118209,147.0,191779.0
Tahiti,191779.0,6381.0,194.0,1400.0,183804.0,0.03327267323325286,0.0010115810385912952,0.007300069350658831,0.958415676377497,148.0,191779.0
Tahiti,191779.0,6637.0,179.0,1351.0,183612.0,0.03460754305737333,0.0009333660098342363,0.007044566923385772,0.9574145240094066,149.0,191779.0
Tahiti,191779.0,6782.0,174.0,1255.0,183568.0,0.035363621668691565,0.0009072943335818834,0.006543990739340595,0.957185093258386,150.0,191779.0
Tahiti,191779.0,6991.0,166.0,1223.0,183399.0,0.03645341773603992,0.0008655796515781186,0.006377132011325536,0.9563038706010564,151.0,191779.0
Tahiti,191779.0,7218.0,187.0,1173.0,183201.0,0.037637071837896746,0.0009750806918380011,0.006116415248802007,0.9552714322214633,152.0,191779.0
Tahiti,191779.0,7454.0,190.0,1108.0,183027.0,0.03886765495700781,0.0009907236975894129,0.005777483457521418,0.9543641378878813,153.0,191779.0
Tahiti,191779.0,7633.0,199.0,1065.0,182882.0,0.03980102096684204,0.001037652714843648,0.005553267041751182,0.9536080592765631,154.0,191779.0
Tahiti,191779.0,7862.0,200.0,1027.0,182690.0,0.04099510373919981,0.0010428670500941188,0.0053551223022332995,0.9526069069084728,155.0,191779.0
Tahiti,191779.0,7910.0,184.0,974.0,182711.0,0.041245391831222396,0.0009594376860865893,0.005078762533958358,0.9527164079487327,156.0,191779.0
