,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Tahiti,191779.0,189440.0,955.0,960.0,424.0,0.9878036698491492,0.004979690164199417,0.00500576184045177,0.0022108781461995315,22.0,191779.0
Tahiti,191779.0,189118.0,1087.0,1077.0,497.0,0.9861246538984978,0.0056679824172615354,0.005615839064756829,0.002591524619483885,23.0,191779.0
Tahiti,191779.0,188800.0,1162.0,1233.0,584.0,0.9844664952888481,0.00605905756104683,0.006429275363830242,0.0030451717862748267,24.0,191779.0
Tahiti,191779.0,188463.0,1254.0,1400.0,662.0,0.9827092643094395,0.006538776404090125,0.007300069350658831,0.003451889935811533,25.0,191779.0
Tahiti,191779.0,188070.0,1419.0,1542.0,748.0,0.9806600305560046,0.007399141720417773,0.008040504956225656,0.0039003227673520043,26.0,191779.0
Tahiti,191779.0,187613.0,1629.0,1693.0,844.0,0.9782770793465395,0.008494152123016597,0.008827869579046715,0.004400898951397181,27.0,191779.0
Tahiti,191779.0,187142.0,1806.0,1864.0,967.0,0.9758211274435679,0.009417089462349893,0.009719520906877187,0.005042262187205064,28.0,191779.0
Tahiti,191779.0,186588.0,2019.0,2085.0,1087.0,0.9729323857148071,0.010527742870700128,0.010871888997231188,0.0056679824172615354,29.0,191779.0
Tahiti,191779.0,186271.0,1945.0,2331.0,1232.0,0.971279441440408,0.010141882062165306,0.012154615468846955,0.006424061028579771,30.0,191779.0
Tahiti,191779.0,185960.0,1869.0,2558.0,1392.0,0.9696577831775116,0.00974559258312954,0.01333826957070378,0.007258354668655067,31.0,191779.0
Tahiti,191779.0,185584.0,1898.0,2722.0,1575.0,0.9676971931233347,0.009896808305393186,0.014193420551780956,0.008212578019491185,32.0,191779.0
Tahiti,191779.0,185194.0,1933.0,2892.0,1760.0,0.9656636023756512,0.010079310039159657,0.015079857544360958,0.009177230040828245,33.0,191779.0
Tahiti,191779.0,184766.0,1988.0,3059.0,1966.0,0.9634318668884497,0.01036609847793554,0.015950651531189547,0.010251383102425187,34.0,191779.0
Tahiti,191779.0,184309.0,2068.0,3203.0,2199.0,0.9610489156789846,0.010783245297973188,0.016701515807257313,0.011466323215784835,35.0,191779.0
Tahiti,191779.0,183861.0,2098.0,3377.0,2443.0,0.9587128934867738,0.010939675355487306,0.017608810140839194,0.01273862101689966,36.0,191779.0
Tahiti,191779.0,183411.0,2125.0,3577.0,2666.0,0.9563664426240621,0.011080462407250012,0.018651677190933313,0.013901417777754603,37.0,191779.0
Tahiti,191779.0,182879.0,2236.0,3724.0,2940.0,0.9535924162708117,0.011659253620052247,0.01941818447275249,0.015330145636383546,38.0,191779.0
Tahiti,191779.0,182368.0,2289.0,3916.0,3206.0,0.9509278909578213,0.01193561338832719,0.020419336840842846,0.016717158813008722,39.0,191779.0
Tahiti,191779.0,181783.0,2410.0,4099.0,3487.0,0.947877504836296,0.01256654795363413,0.021373560191678964,0.01818238701839096,40.0,191779.0
Tahiti,191779.0,181201.0,2487.0,4299.0,3792.0,0.9448427617205221,0.012968051767920367,0.022416427241773083,0.01977275926978449,41.0,191779.0
Tahiti,191779.0,180560.0,2617.0,4519.0,4083.0,0.9415003728249705,0.013645915350481545,0.023563580996876613,0.021290130827671436,42.0,191779.0
Tahiti,191779.0,179953.0,2728.0,4683.0,4415.0,0.9383352713279347,0.01422470656328378,0.02441873197795379,0.02302129013082767,43.0,191779.0
Tahiti,191779.0,179249.0,2908.0,4850.0,4772.0,0.9346643793116035,0.015163286908368486,0.02528952596478238,0.024882807815245673,44.0,191779.0
Tahiti,191779.0,178529.0,3046.0,5111.0,5093.0,0.9309100579312646,0.015882865172933427,0.026650467465155203,0.026556609430646735,45.0,191779.0
Tahiti,191779.0,177830.0,3118.0,5361.0,5470.0,0.9272652375911857,0.016258297310967312,0.027954051277772854,0.028522413820074147,46.0,191779.0
Tahiti,191779.0,177065.0,3274.0,5590.0,5850.0,0.9232762711245757,0.017071733610040725,0.029148134050130618,0.030503861215252972,47.0,191779.0
Tahiti,191779.0,176325.0,3345.0,5840.0,6269.0,0.9194176630392275,0.017441951412824137,0.03045171786274827,0.03268866768520015,48.0,191779.0
Tahiti,191779.0,175516.0,3446.0,6119.0,6698.0,0.9151992658215967,0.017968599273121666,0.031906517397629564,0.03492561750765204,49.0,191779.0
Tahiti,191779.0,174665.0,3632.0,6329.0,7153.0,0.9107618665234463,0.018938465629709196,0.033001527800228386,0.037298140046616156,50.0,191779.0
Tahiti,191779.0,173773.0,3785.0,6607.0,7614.0,0.9061106794800264,0.019736258923031196,0.034451112999859215,0.0397019485970831,51.0,191779.0
Tahiti,191779.0,172851.0,3961.0,6893.0,8074.0,0.9013030623790926,0.020653981927114023,0.0359424128814938,0.04210054281229957,52.0,191779.0
Tahiti,191779.0,171889.0,4134.0,7171.0,8585.0,0.8962868718681399,0.021556061925445433,0.03739199808112463,0.04476506812529005,53.0,191779.0
Tahiti,191779.0,170943.0,4280.0,7461.0,9095.0,0.8913541107211947,0.022317354872014143,0.0389041553037611,0.04742437910303005,54.0,191779.0
Tahiti,191779.0,169932.0,4476.0,7739.0,9632.0,0.8860824177829689,0.023339364581106376,0.040353740503391924,0.05022447713253276,55.0,191779.0
Tahiti,191779.0,168890.0,4600.0,8083.0,10206.0,0.8806490804519785,0.023985942152164732,0.042147471829553806,0.05321750556630288,56.0,191779.0
Tahiti,191779.0,167851.0,4757.0,8417.0,10754.0,0.8752313861267397,0.024804592786488614,0.043889059803210985,0.056074961283560765,57.0,191779.0
Tahiti,191779.0,166764.0,4936.0,8689.0,11390.0,0.869563403709478,0.02573795879632285,0.04530735899133899,0.059391278502860065,58.0,191779.0
