,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Bora Bora,10758.0,8351.0,799.0,980.0,628.0,0.7762595277932701,0.07427031046662949,0.09109499907045919,0.0583751626696412,51.0,10758.0
Bora Bora,10758.0,8131.0,875.0,1075.0,677.0,0.7558096300427589,0.08133482059862428,0.09992563673545268,0.06292991262316416,52.0,10758.0
Bora Bora,10758.0,7897.0,905.0,1186.0,770.0,0.7340583751626697,0.08412344301914854,0.11024353969139246,0.07157464212678936,53.0,10758.0
Bora Bora,10758.0,7618.0,987.0,1288.0,865.0,0.708124186651794,0.09174567763524819,0.11972485592117493,0.08040527979178286,54.0,10758.0
Bora Bora,10758.0,7348.0,1022.0,1413.0,975.0,0.6830265848670757,0.09499907045919316,0.13134411600669268,0.09063022866703849,55.0,10758.0
Bora Bora,10758.0,7034.0,1129.0,1506.0,1089.0,0.6538390035322551,0.10494515709239635,0.1399888455103179,0.10122699386503067,56.0,10758.0
Bora Bora,10758.0,6745.0,1180.0,1616.0,1217.0,0.626975274214538,0.1096858152072876,0.15021379438557353,0.11312511619260085,57.0,10758.0
Bora Bora,10758.0,6447.0,1254.0,1737.0,1320.0,0.5992749581706637,0.1165644171779141,0.16146123814835472,0.12269938650306748,58.0,10758.0
Bora Bora,10758.0,6135.0,1312.0,1899.0,1412.0,0.5702732849972114,0.12195575385759434,0.17651979921918573,0.13125116192600855,59.0,10758.0
Bora Bora,10758.0,5841.0,1389.0,2006.0,1522.0,0.5429447852760736,0.1291132180702733,0.1864658858523889,0.14147611080126418,60.0,10758.0
Bora Bora,10758.0,5542.0,1442.0,2118.0,1656.0,0.5151515151515151,0.13403978434653283,0.19687674288901283,0.1539319576129392,61.0,10758.0
Bora Bora,10758.0,5234.0,1435.0,2319.0,1770.0,0.4865216583007994,0.13338910578174382,0.21556051310652538,0.1645287228109314,62.0,10758.0
Bora Bora,10758.0,4913.0,1476.0,2406.0,1963.0,0.4566833984011898,0.13720022308979365,0.22364751812604575,0.1824688603829708,63.0,10758.0
Bora Bora,10758.0,4594.0,1503.0,2520.0,2141.0,0.4270310466629485,0.13970998326826548,0.23424428332403793,0.1990146867447481,64.0,10758.0
Bora Bora,10758.0,4264.0,1509.0,2672.0,2313.0,0.39635620003718164,0.14026770775237032,0.2483733035880275,0.21500278862242053,65.0,10758.0
Bora Bora,10758.0,3930.0,1553.0,2817.0,2458.0,0.3653095370886782,0.1443576873024726,0.2618516452872281,0.22848113032162112,66.0,10758.0
Bora Bora,10758.0,3637.0,1523.0,2924.0,2674.0,0.3380739914482246,0.14156906488194831,0.27179773192043133,0.2485592117493958,67.0,10758.0
Bora Bora,10758.0,3318.0,1485.0,3058.0,2897.0,0.30842163970998326,0.13803680981595093,0.2842535787321063,0.26928797174195945,68.0,10758.0
Bora Bora,10758.0,3070.0,1445.0,3105.0,3138.0,0.285369027700316,0.13431864658858525,0.288622420524261,0.2916899051868377,69.0,10758.0
Bora Bora,10758.0,2823.0,1442.0,3162.0,3331.0,0.26240936977133295,0.13403978434653283,0.29392080312325713,0.3096300427588771,70.0,10758.0
Bora Bora,10758.0,2590.0,1394.0,3228.0,3546.0,0.24075106897192786,0.129577988473694,0.3000557724484105,0.32961517010596764,71.0,10758.0
Bora Bora,10758.0,2333.0,1369.0,3270.0,3786.0,0.21686187023610337,0.12725413645659045,0.30395984383714447,0.35192414947016176,72.0,10758.0
Bora Bora,10758.0,2143.0,1278.0,3348.0,3989.0,0.19920059490611638,0.11879531511433351,0.3112102621305075,0.3707938278490426,73.0,10758.0
Bora Bora,10758.0,1933.0,1234.0,3330.0,4261.0,0.17968023796244656,0.11470533556423126,0.30953708867819296,0.3960773377951292,74.0,10758.0
Bora Bora,10758.0,1769.0,1149.0,3332.0,4508.0,0.16443576873024726,0.10680423870607919,0.3097229968395613,0.4190369957241123,75.0,10758.0
Bora Bora,10758.0,1592.0,1096.0,3352.0,4718.0,0.1479828964491541,0.10187767242981967,0.3115820784532441,0.4385573526677821,76.0,10758.0
Bora Bora,10758.0,1474.0,991.0,3367.0,4926.0,0.13701431492842536,0.09211749395798476,0.3129763896635062,0.4578918014500837,77.0,10758.0
Bora Bora,10758.0,1290.0,952.0,3310.0,5206.0,0.11991076408254323,0.08849228481130321,0.30767800706451015,0.48391894404164343,78.0,10758.0
